YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1981,26.37,26.37,390.23,258.4,205.66,10.55,0,26.37,79.1,147.66,63.28,131.84,1365.82
1982,84.38,52.73,73.83,216.21,179.3,26.37,5.27,42.19,47.46,205.66,147.66,110.74,1191.8
1983,10.55,26.37,73.83,168.75,100.2,21.09,47.46,5.27,5.27,79.1,31.64,68.55,638.09
1984,47.46,26.37,47.46,200.39,26.37,0,15.82,10.55,15.82,89.65,174.02,58.01,711.91
1985,58.01,147.66,116.02,195.12,100.2,0,0,0,42.19,63.28,126.56,5.27,854.3
1986,42.19,94.92,100.2,258.4,94.92,10.55,0,0,58.01,205.66,152.93,94.92,1112.7
1987,142.38,105.47,131.84,184.57,152.93,52.73,63.28,10.55,31.64,31.64,158.2,10.55,1075.78
1988,73.83,84.38,189.84,189.84,116.02,0,0,15.82,31.64,110.74,163.48,131.84,1107.42
1989,58.01,36.91,100.2,179.3,116.02,15.82,0,5.27,63.28,100.2,84.38,174.02,933.4
1990,68.55,105.47,200.39,189.84,100.2,0,0,5.27,63.28,84.38,105.47,163.48,1086.33
1991,42.19,63.28,131.84,210.94,158.2,26.37,10.55,5.27,0,58.01,42.19,31.64,780.47
1992,10.55,26.37,36.91,121.29,68.55,5.27,0,5.27,36.91,15.82,63.28,110.74,500.98
1993,100.2,42.19,68.55,47.46,94.92,0,0,15.82,0,36.91,79.1,42.19,527.34
1994,63.28,63.28,105.47,142.38,63.28,26.37,5.27,10.55,36.91,110.74,116.02,116.02,859.57
1995,63.28,68.55,110.74,168.75,131.84,10.55,5.27,5.27,47.46,63.28,100.2,63.28,838.48
1996,79.1,121.29,210.94,100.2,226.76,26.37,15.82,100.2,100.2,68.55,84.38,68.55,1202.34
1997,100.2,5.27,221.48,242.58,84.38,47.46,10.55,26.37,21.09,142.38,152.93,79.1,1133.79
1998,121.29,89.65,94.92,79.1,100.2,21.09,10.55,5.27,42.19,63.28,42.19,36.91,706.64
1999,116.02,0,79.1,58.01,15.82,0,0,26.37,21.09,26.37,131.84,10.55,485.16
2000,10.55,26.37,179.3,152.93,100.2,5.27,0,31.64,15.82,94.92,147.66,142.38,907.03
2001,73.83,58.01,110.74,121.29,100.2,15.82,58.01,42.19,63.28,116.02,63.28,36.91,859.57
2002,100.2,68.55,63.28,121.29,58.01,0,0,42.19,52.73,110.74,94.92,79.1,791.02
2003,94.92,21.09,58.01,131.84,142.38,42.19,94.92,47.46,84.38,100.2,121.29,84.38,1023.05
2004,163.48,152.93,210.94,242.58,94.92,10.55,52.73,58.01,142.38,105.47,137.11,126.56,1497.66
2005,137.11,63.28,195.12,142.38,163.48,26.37,15.82,31.64,94.92,105.47,84.38,26.37,1086.33
2006,36.91,73.83,152.93,147.66,100.2,10.55,36.91,36.91,52.73,89.65,168.75,126.56,1033.59
2007,73.83,163.48,89.65,158.2,284.77,84.38,42.19,84.38,116.02,79.1,142.38,89.65,1408.01
2008,142.38,152.93,205.66,89.65,174.02,226.76,36.91,116.02,36.91,89.65,89.65,58.01,1418.55
2009,126.56,226.76,174.02,168.75,94.92,21.09,10.55,89.65,31.64,110.74,216.21,210.94,1481.84
2010,105.47,163.48,200.39,258.4,126.56,21.09,0,5.27,68.55,31.64,253.12,89.65,1323.63
2011,58.01,68.55,163.48,174.02,121.29,26.37,15.82,63.28,237.3,200.39,131.84,89.65,1350
2012,15.82,52.73,68.55,184.57,348.05,21.09,0,68.55,52.73,179.3,195.12,116.02,1302.54
2013,47.46,26.37,200.39,205.66,126.56,0,10.55,36.91,79.1,42.19,110.74,105.47,991.41
2014,15.82,73.83,105.47,179.3,116.02,94.92,10.55,63.28,105.47,131.84,158.2,147.66,1202.34
2015,26.37,47.46,110.74,110.74,94.92,63.28,5.27,10.55,42.19,131.84,242.58,68.55,954.49
2016,84.38,26.37,105.47,221.48,84.38,0,0,0,89.65,105.47,58.01,31.64,806.84
2017,36.91,63.28,126.56,79.1,89.65,5.27,0,31.64,42.19,105.47,168.75,58.01,806.84
2018,137.11,42.19,237.3,311.13,94.92,26.37,10.55,58.01,63.28,121.29,58.01,84.38,1244.53
2019,79.1,84.38,63.28,126.56,105.47,79.1,42.19,15.82,68.55,247.85,163.48,179.3,1255.08
2020,147.66,210.94,274.22,268.95,110.74,58.01,47.46,10.55,36.91,147.66,290.04,131.84,1734.96
2021,216.21,247.85,58.01,194.8,89.14,20.8,13.53,69.67,154.34,72.54,172.07,195.09,1504.06
2022,153.25,362.86,161.54,164.07,98.11,27.61,11.7,160.21,129.56,93.99,193.06,105.75,1661.72
